ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
1331 09TH AVE,1,2,-122.466596,37.763401
1342 IRVING ST,1,2,-122.472438,37.763995
1401 BAKER ST,1,2,-122.443244,37.7841
1412 MARKET ST,1,2,-122.418218,37.77633
1419 HAIGHT ST,1,2,-122.44565,37.769988
1428 HAIGHT ST,1,2,-122.445966,37.770366
1431 CASTRO ST,1,2,-122.43374,37.750079
145 BOSWORTH ST,1,2,-122.428354,37.733272
1453 18TH ST,1,2,-122.397163,37.762346
15 TERESITA BLVD,1,2,-122.451734,37.745045
1500 SOUTH VAN NESS AVE,1,2,-122.416118,37.748922
1508 CHURCH ST,1,2,-122.427228,37.746607
1517 PINE ST,1,2,-122.420757,37.789395
152 CLEMENT ST,1,2,-122.461049,37.78335
155 WINSTON DR,1,2,-122.474489,37.72659
1551 DOLORES ST,1,2,-122.424071,37.744536
1580 VALENCIA ST,1,2,-122.420576,37.74756
1600 DOLORES ST,1,2,-122.424712,37.743675
1601 20TH ST,1,2,-122.39741163,37.75976449
1601 ALEMANY BLVD,1,2,-122.435864,37.726431
1605 POLK ST,1,2,-122.42112,37.791658
1621 HAIGHT ST,1,2,-122.448947,37.76955
1630 OCEAN AVE,2,4,-122.459648,37.724848
1635 MARKET ST,1,2,-122.420843,37.773854
1640 HAIGHT ST,1,2,-122.449334,37.769988
1650 VALENCIA ST,1,2,-122.420328,37.746157
1655 BRYANT ST,1,2,-122.410405,37.766478
1720 MARKET ST,1,2,-122.42310203,37.77254418
1722 TARAVAL ST,1,2,-122.484688,37.742902
1724 FILLMORE ST,1,2,-122.432895,37.785621
1725 POLK ST,1,2,-122.42146,37.792734
1744 CLEMENT ST,1,2,-122.478189,37.78253
1749 POLK ST,1,2,-122.421381,37.793038
1773 HAIGHT ST,1,2,-122.45137,37.769207
1776 MISSION ST,1,2,-122.420335,37.768682
1790 SUTTER ST,1,2,-122.429783,37.786736
180 POST ST,1,2,-122.404939,37.788939
