ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
401 EUCLID AVE,1,2,-122.452729,37.7838
4035 JUDAH ST,1,2,-122.505461,37.760198
4068 18TH ST,1,2,-122.434231,37.761161
4101 CALIFORNIA ST,1,2,-122.461532,37.785161
4115 19TH ST,1,2,-122.43516779,37.75912636
4121 18TH ST,1,2,-122.435479,37.760668
420 TAYLOR ST,1,2,-122.411031,37.786332
429 CASTRO ST,1,2,-122.434696,37.762013
4343 03RD ST,1,2,-122.389208,37.738093
44 MONTGOMERY ST,1,2,-122.401767,37.789808
445 CASTRO ST,1,2,-122.434795,37.76173
451 CORTLAND AVE,1,2,-122.416856,37.739275
4620 CALIFORNIA ST,1,2,-122.467201,37.784939
4720 03RD ST,1,2,-122.390845,37.735443
474 VALENCIA ST,1,2,-122.422417,37.765409
495 09TH AVE,1,2,-122.467633,37.779241
500 BRANNAN ST,1,2,-122.396858,37.778279
501 FILLMORE ST,1,2,-122.431047,37.774178
501 HAYES ST,1,2,-122.424756,37.776393
5030 GEARY BLVD,1,2,-122.473486,37.78091
525 BRYANT ST,1,2,-122.396559,37.780782
547 HAIGHT ST,1,2,-122.431212,37.771878
5507 MISSION ST,1,2,-122.444609,37.71244
558 CLAYTON ST,1,2,-122.448317,37.769965
5609 MISSION ST,1,2,-122.446396,37.711165
564 MARKET ST,1,2,-122.401188,37.789879
57 KISSLING ST,1,2,-122.414361,37.772953
583 HAIGHT ST,1,2,-122.431719,37.771796
583 SHOTWELL ST,1,2,-122.41527469,37.75907967
595 BUCKINGHAM WAY,1,2,-122.479519,37.729524
60 GOLDEN GATE AVE,1,2,-122.41178585,37.7824143
601 BRUNSWICK ST,1,2,-122.445534,37.709564
601 VALENCIA ST,1,2,-122.421395,37.763092
609 HAYES ST,1,2,-122.426491,37.776263
610 VALLEJO ST,1,2,-122.407429,37.79889
6134 GEARY BLVD,1,2,-122.485376,37.780371
615 BALBOA ST,1,2,-122.465347,37.777026
621 DIVISADERO ST,1,2,-122.438045,37.775322
628 20TH ST,1,2,-122.388228,37.760684
633 BATTERY ST,1,2,-122.401161,37.797147
678 GREEN ST,1,2,-122.410267,37.799636
680 02ND ST,1,2,-122.391232,37.780697
698 HAYES ST,1,2,-122.427782,37.776466
7 DRUMM ST,1,2,-122.396712,37.793824
70 04TH ST,1,2,-122.40491,37.784685
71 STEVENSON ST,1,2,-122.399666,37.789373
711 MARKET ST,1,2,-122.40369,37.787025
730 TARAVAL ST,1,2,-122.474291,37.743359
736 MISSION ST,1,2,-122.403364,37.785909
739 LARKIN ST,1,2,-122.418102,37.784821
740 TAYLOR ST,1,2,-122.411778,37.789383
755 COLUMBUS AVE,1,2,-122.412336,37.8016
782 ARGUELLO BLVD,2,4,-122.45812,37.775648
791 HAIGHT ST,1,2,-122.435107,37.771319
816 FOLSOM ST,1,2,-122.40184,37.7818
82 14TH ST,1,2,-122.415111,37.768814
822 GEARY ST,1,2,-122.417005,37.78653
842 COLE ST,1,2,-122.449777,37.766196
86 CARL ST,1,2,-122.449678,37.765998
888 BRANNAN ST,1,2,-122.405193,37.772015
900 ALABAMA ST,1,2,-122.41159187,37.75723366
901 VALENCIA ST,1,2,-122.420958,37.758351
926 TARAVAL ST,1,2,-122.476361,37.743268
938 VALENCIA ST,1,2,-122.42149783,37.75791409
955 VALENCIA ST,1,2,-122.420892,37.757654
972 MARKET ST,1,2,-122.40995,37.783035
999 VALENCIA ST,1,2,-122.4208381,37.7570827
101 GEARY ST,1,2,-122.40528,37.787597
101 GEARY ST,1,2,-122.40528,37.787597
1235 MISSION ST,1,2,-122.413521,37.77666
1326 CHURCH ST,1,2,-122.427416,37.749529
1360 09TH AVE,1,2,-122.465903,37.762916
1360 09TH AVE,1,2,-122.465903,37.762916
1400 EVANS AVE,1,2,-122.384707,37.741798
1400 EVANS AVE,1,2,-122.384707,37.741798
1455 MARKET ST,1,2,-122.417466,37.775228
1519 HAIGHT ST,1,2,-122.447269,37.769743
1519 HAIGHT ST,1,2,-122.447269,37.769743
1600 DIVISADERO ST,1,2,-122.438928,37.784891
1701 DIVISADERO ST,1,2,-122.440238,37.785488
180 NEW MONTGOMERY ST,1,2,-122.399521,37.786251
201 BERRY ST,3,3,-122.394083,37.774704
2254 POLK ST,1,2,-122.421808,37.797497
2288 MISSION ST,1,2,-122.419513,37.760471
2295 HARRISON ST,1,2,-122.412334,37.760916
26 04TH ST,1,2,-122.405677,37.78499
26 04TH ST,1,2,-122.405677,37.78499
260 05TH ST,1,2,-122.404506,37.780461
260 05TH ST,1,2,-122.404506,37.780461
271 09TH ST,1,2,-122.411809,37.774269
271 09TH ST,1,2,-122.411809,37.774269
2825 CALIFORNIA ST,1,2,-122.440731,37.787838
2825 CALIFORNIA ST,1,2,-122.440731,37.787838
2857 24TH ST,1,2,-122.40933529,37.75251838
3200 CALIFORNIA ST,5,10,-122.447385,37.787486
3409 24TH ST,1,2,-122.420943,37.75194
350 KANSAS ST,1,2,-122.403908,37.765371
3501 CALIFORNIA ST,1,2,-122.451609,37.786234
398 DOLORES ST,1,2,-122.426629,37.763155
399 GROVE ST,1,2,-122.422764,37.777604
410 BUSH ST,1,2,-122.404547,37.79117
411 HAYES ST,1,2,-122.423156,37.776597
455 VALENCIA ST,1,2,-122.421641,37.76565
480 05TH ST,1,2,-122.400857,37.777924
488 HAIGHT ST,1,2,-122.430268,37.772357
55 04TH ST,1,2,-122.404391,37.785396
560 03RD ST,1,2,-122.395095,37.780411
562 MARKET ST,1,2,-122.401188,37.789879
577 02ND ST,1,2,-122.392143,37.782263
602 03RD ST,1,2,-122.39435597,37.77982478
630 IRVING ST,1,2,-122.46477,37.764355
65 09TH ST,1,2,-122.414948,37.77677
659 HAIGHT ST,1,2,-122.432991,37.77153
659 HAIGHT ST,1,2,-122.432991,37.77153
699 08TH ST,1,2,-122.403546,37.771022
701 BAY SHORE BLVD,1,2,-122.40613868,37.73597064
734 BRYANT ST,1,2,-122.401256,37.777377
806 SOUTH VAN NESS AVE,1,2,-122.417279,37.760199
101 CLEMENT ST,1,2,-122.46029535,37.78288969
101 UTAH ST,1,2,-122.406311,37.767882
1095 MARKET ST,1,2,-122.412014,37.780329
112 12TH ST,1,2,-122.417872,37.771874
1129 FOLSOM ST,1,2,-122.408373,37.775988
1141 POLK ST,1,2,-122.420298,37.787466
117 DIAMOND ST,2,4,-122.436799,37.760124
120 BATTERY ST,1,2,-122.399416,37.792525
1200 POLK ST,1,2,-122.41986249,37.78805133
1218 VALENCIA ST,1,2,-122.421041,37.753346
1233 17TH ST,1,2,-122.396415,37.764922
1234 POLK ST,1,2,-122.41998809,37.78846836
125 GRANT AVE,1,2,-122.405354,37.788077
128 KING ST,1,2,-122.39071,37.779507
1303 VAN NESS AVE,1,2,-122.422309,37.787741
1305 VAN NESS AVE,1,2,-122.421868,37.787624
1312 POLK ST,1,2,-122.420098,37.78897
1314 22ND AVE,1,2,-122.47999146,37.7631847
1331 POLK ST,1,2,-122.420653,37.789246
1334 POLK ST,1,2,-122.420203,37.789322
135 MISSISSIPPI ST,1,2,-122.394522,37.764726
1356 PACIFIC AVE,1,2,-122.417627,37.795589
1364 HAIGHT ST,1,2,-122.444696,37.77058
1369 HAIGHT ST,1,2,-122.444698,37.770117
1386 PACIFIC AVE,1,2,-122.417938,37.79566
1399 BUSH ST,2,4,-122.419988,37.788468
1420 CALIFORNIA ST,1,2,-122.41785,37.790991
1443 OCEAN AVE,1,2,-122.45794,37.723999
1474 HAIGHT ST,1,2,-122.446623,37.770065
1477 VAN NESS AVE,1,2,-122.422956,37.78905
1490 03RD ST,3,3,-122.38987095,37.77014638
1498 POLK ST,1,2,-122.420368,37.790439
1515 POLK ST,1,2,-122.420969,37.790828
1541 POLK ST,1,2,-122.421055,37.791083
1552 OCEAN AVE,1,2,-122.459052,37.724753
1555 CLEMENT ST,1,2,-122.476114,37.782205
1572 CALIFORNIA ST,1,2,-122.420113,37.790961
1573 HAIGHT ST,1,2,-122.44806,37.769627
1576 03RD ST,3,3,-122.38967783,37.76856044
1597 HAIGHT ST,1,2,-122.448328,37.769636
1630 POLK ST,1,2,-122.42068,37.792031
1644 HAIGHT ST,1,2,-122.449428,37.769976
165 CAPP ST,1,2,-122.418312,37.764058
1650 03RD ST,3,3,-122.389495,37.767963
1680 HAIGHT ST,1,2,-122.44987,37.769654
169 STEUART ST,1,2,-122.391982,37.792699
1695 MARKET ST,2,4,-122.421932,37.772551
1750 DIVISADERO ST,1,2,-122.439697,37.785974
1782 CHURCH ST,1,2,-122.426823,37.742353
1800 OAKDALE AVE,1,2,-122.394129,37.737053
1801 MCALLISTER ST,1,2,-122.44193091,37.7771934
1812 DIVISADERO ST,1,2,-122.439824,37.786461
1813 POLK ST,1,2,-122.421585,37.793576
1828 CLEMENT ST,1,2,-122.478998,37.782533
1830 HARRISON ST,1,2,-122.413954,37.767985
1836 DIVISADERO ST,1,2,-122.439781,37.786725
1901 OCEAN AVE,1,2,-122.462498,37.72503
1904 FILLMORE ST,1,2,-122.43307745,37.78658977
1915 OCEAN AVE,1,2,-122.462649,37.725202
1916 IRVING ST,1,2,-122.478596,37.763713
1935 OCEAN AVE,1,2,-122.463107,37.725335
1941 OCEAN AVE,1,2,-122.463258,37.725392
1949 POST ST,1,2,-122.433716,37.784871
1967 MARKET ST,1,2,-122.426044,37.769392
201 KING ST,3,3,-122.39168557,37.77752751
2016 CHESTNUT ST,1,2,-122.436738,37.800953
2029 FILLMORE ST,1,2,-122.434066,37.788311
2040 CHESTNUT ST,1,2,-122.437175,37.800897
2055 CHESTNUT ST,1,2,-122.436919,37.800253
2068 CHESTNUT ST,1,2,-122.4377,37.800848
207 KING ST,3,3,-122.391686,37.777528
2085 CHESTNUT ST,1,2,-122.437575,37.800516
2101 FOLSOM ST,1,2,-122.415171,37.763676
2108 CHESTNUT ST,1,2,-122.438258,37.800799
2159 CHESTNUT ST,1,2,-122.43877,37.800209
2181 IRVING ST,1,2,-122.481124,37.763141
2217 MARKET ST,1,2,-122.431409,37.765084
2219 CHESTNUT ST,1,2,-122.439811,37.800234
222 KEARNY ST,1,2,-122.403664,37.790196
2222 POLK ST,1,2,-122.421808,37.797497
225 KING ST,3,3,-122.392668,37.777206
2269 CHESTNUT ST,1,2,-122.440579,37.79998
23 GRANT AVE,1,2,-122.405207,37.787147
2306 FILLMORE ST,1,2,-122.433983,37.790991
2323 CHESTNUT ST,1,2,-122.441487,37.799929
2323 POLK ST,1,2,-122.422532,37.798223
2331 MARKET ST,1,2,-122.433627,37.763344
2365 CHESTNUT ST,1,2,-122.442225,37.799771
2400 HARRISON ST,1,2,-122.412746,37.758894
255 BERRY ST,3,3,-122.394743,37.774186
264 KEARNY ST,1,2,-122.403764,37.790663
265 KING ST,3,3,-122.393944,37.776216
266 SUTTER ST,1,2,-122.405,37.789859
270 DIVISADERO ST,1,2,-122.436833,37.771708
2739 GEARY BLVD,1,2,-122.448492,37.781971
2807 24TH ST,1,2,-122.40834399,37.75264667
2901 CALIFORNIA ST,1,2,-122.44236,37.787513
2930 LYON ST,1,2,-122.446915,37.798024
2950 24TH ST,1,2,-122.411136,37.752855
2977 24TH ST,1,2,-122.411428,37.752429
298 VALENCIA ST,1,2,-122.422531,37.768304
301 KING ST,3,3,-122.394228,37.775519
3100 16TH ST,2,4,-122.42223293,37.76513944
3128 24TH ST,1,2,-122.414703,37.752701
3166 24TH ST,1,2,-122.415652,37.752612
32 OTIS ST,2,4,-122.419574,37.772801
320 SAN BRUNO AVE,1,2,-122.40571,37.76571
3200 24TH ST,1,2,-122.416588,37.752472
321 DIVISADERO ST,1,2,-122.437681,37.772558
322 HAYES ST,1,2,-122.42188657,37.77728531
3248 SCOTT ST,1,2,-122.440817,37.799967
3285 21ST ST,1,2,-122.42081,37.756798
3286 22ND ST,1,2,-122.42068142,37.75548474
3295 22ND ST,1,2,-122.420653,37.755158
3301 GEARY BLVD,1,2,-122.454382,37.781249
3316 24TH ST,1,2,-122.418804,37.752399
3320 24TH ST,1,2,-122.41880358,37.75239884
3324 17TH ST,1,2,-122.420176,37.763602
3349 18TH ST,1,2,-122.41801683,37.76177994
3380 24TH ST,1,2,-122.420179,37.752328
3388 24TH ST,1,2,-122.420374,37.752247
341 KEARNY ST,1,2,-122.40435,37.791315
3419 CALIFORNIA ST,1,2,-122.45041,37.786389
3464 19TH ST,1,2,-122.4207998,37.76034427
3491 19TH ST,1,2,-122.421129,37.759948
353 KING ST,3,3,-122.394934,37.775308
3605 18TH ST,3,6,-122.424189,37.761362
3614 18TH ST,1,2,-122.424292,37.761733
3641 SACRAMENTO ST,1,2,-122.452638,37.787239
3685 SACRAMENTO ST,1,2,-122.453254,37.787143
3701 SACRAMENTO ST,1,2,-122.453725,37.787118
3782 24TH ST,1,2,-122.427146,37.751835
3801 SACRAMENTO ST,1,2,-122.455448,37.786829
383 KING ST,3,3,-122.394934,37.775308
3838 24TH ST,1,2,-122.428328,37.751832
3858 24TH ST,1,2,-122.428881,37.751813
3897 18TH ST,1,2,-122.43034946,37.76094393
3901 18TH ST,1,2,-122.430785,37.761018
3913 24TH ST,1,2,-122.430037,37.751293
3914 24TH ST,1,2,-122.430128,37.751777
3915 24TH ST,1,2,-122.430037,37.751293
396 HAYES ST,1,2,-122.422689,37.777141
3963 24TH ST,1,2,-122.430953,37.751238
3979 24TH ST,1,2,-122.431311,37.751216
400 VALENCIA ST,2,4,-122.422413,37.766378
401 VALENCIA ST,1,2,-122.421714,37.766409
4031 24TH ST,1,2,-122.432632,37.751136
405 VALENCIA ST,1,2,-122.421714,37.766409
4068 24TH ST,1,2,-122.433389,37.751581
4089 24TH ST,1,2,-122.43379,37.751189
4112 24TH ST,1,2,-122.434569,37.751513
432 CASTRO ST,1,2,-122.435421,37.761961
44 GOUGH ST,1,2,-122.420966,37.772712
440 POTRERO AVE,1,2,-122.40791,37.764156
4517 03RD ST,1,2,-122.3897,37.736551
4526 03RD ST,1,2,-122.39027833,37.73688568
457 HYDE ST,1,2,-122.416469,37.785056
4622 03RD ST,1,2,-122.390554,37.736098
468 CASTRO ST,1,2,-122.435412,37.761399
4699 03RD ST,1,2,-122.390032,37.735686
473 HAIGHT ST,1,2,-122.429878,37.771892
4780 MISSION ST,1,2,-122.437379,37.721703
4825 MISSION ST,1,2,-122.437207,37.721058
49 KEARNY ST,1,2,-122.403841,37.788575
491 POTRERO AVE,1,2,-122.406967,37.763358
4920 03RD ST,1,2,-122.391388,37.73382
4923 03RD ST,1,2,-122.390807,37.733543
4950 MISSION ST,1,2,-122.439188,37.71966
496 14TH ST,2,4,-122.424173,37.768215
498 SANCHEZ ST,1,2,-122.430847,37.761261
50 POST ST,1,2,-122.403041,37.789531
503 HAIGHT ST,1,2,-122.43065953,37.77185018
5080 MISSION ST,1,2,-122.4408,37.717252
510 GREEN ST,1,2,-122.40765,37.799847
512 DIVISADERO ST,1,2,-122.43733,37.774364
5159 MISSION ST,1,2,-122.440995,37.716015
519 LAGUNA ST,1,2,-122.426361,37.776096
525 HAIGHT ST,1,2,-122.430845,37.771849
531 DIVISADERO ST,1,2,-122.438027,37.774485
531 HOWARD ST,1,2,-122.396573,37.787771
538 JONES ST,1,2,-122.413071,37.786311
544 HAYES ST,1,2,-122.42540552,37.7768363
550 37TH AVE,1,2,-122.497195,37.77853
550 WASHINGTON ST,1,2,-122.40269032,37.79573813
555 SAN JOSE AVE,1,2,-122.42155,37.74656
560 BALBOA ST,1,2,-122.464819,37.77741
571 VALENCIA ST,1,2,-122.421486,37.763818
579 HOWARD ST,1,2,-122.397482,37.787055
582 MARKET ST,1,2,-122.40161,37.789525
589 GUERRERO ST,1,2,-122.423453,37.761934
593 GUERRERO ST,1,2,-122.423615,37.761768
602 HAIGHT ST,1,2,-122.432311,37.772085
603 VALENCIA ST,2,4,-122.421395,37.763092
620 SHRADER ST,1,2,-122.451785,37.769036
625 CLEMENT ST,1,2,-122.465909,37.782666
634 IRVING ST,1,2,-122.464973,37.764277
635 08TH ST,2,4,-122.403883,37.771824
639 DIVISADERO ST,1,2,-122.438244,37.775521
648 ANDOVER ST,1,2,-122.41702521,37.73573507
65 POST ST,1,2,-122.403034,37.788747
66 SANCHEZ ST,1,2,-122.43161,37.768206
663 SOUTH VAN NESS AVE,1,2,-122.417255,37.762504
669 CHENERY ST,1,2,-122.433253,37.734359
7 CLAUDE LN,1,2,-122.40448823,37.79003153
708 CLEMENT ST,1,2,-122.466841,37.783054
710 POLK ST,1,2,-122.419016,37.783387
730 FLORIDA ST,1,2,-122.411225,37.759922
734 IRVING ST,1,2,-122.465884,37.764306
735 MARKET ST,1,2,-122.404092,37.786558
771 ELLIS ST,1,2,-122.418876,37.78391
790 LOMBARD ST,1,2,-122.414334,37.802895
801 CLEMENT ST,1,2,-122.467836,37.782578
823 CLEMENT ST,1,2,-122.468065,37.782533
828 HOLLOWAY AVE,1,2,-122.461627,37.72205205
828 VALENCIA ST,1,2,-122.421488,37.759499
865 FILBERT ST,1,2,-122.413603,37.800589
899 HOWARD ST,1,2,-122.404102,37.781681
921 HOWARD ST,1,2,-122.405166,37.780833
941 KEARNY ST,1,2,-122.405592,37.796778
944 FOLSOM ST,1,2,-122.404665,37.779675
950 GEARY ST,1,2,-122.418961,37.786253
990 COLUMBUS AVE,1,2,-122.414366,37.80346
991 SHOTWELL ST,1,2,-122.41498878,37.75265286
1300 DOLORES ST,1,2,-122.425176,37.74849
1300 DOLORES ST,1,2,-122.425176,37.74849
1326 CHURCH ST,1,2,-122.427416,37.749529
1449 MISSION ST,1,2,-122.41617827,37.77458318
1453 MISSION ST,1,2,-122.416178,37.774583
1600 DIVISADERO ST,1,2,-122.438928,37.784891
1625 OWENS ST,26,52,-122.39395,37.76828
1625 OWENS ST,1,5,-122.39395,37.76828
1675 OWENS ST,6,6,-122.39314,37.7681
1675 OWENS ST,20,20,-122.39262,37.76842
186 02ND ST,1,2,-122.398644,37.786776
186 02ND ST,1,2,-122.398644,37.786776
2099 FOLSOM ST,1,2,-122.414915,37.763866
2101 MISSION ST,1,2,-122.41901,37.763175
25 SANCHEZ ST,1,2,-122.430979,37.768929
303 02ND ST,2,4,-122.395566,37.785292
351 SHOTWELL ST,1,2,-122.415843,37.762811
4001 JUDAH ST,1,2,-122.505019,37.760252
405 HOWARD ST,1,2,-122.39525,37.788891
428 03RD ST,1,2,-122.397291,37.781969
428 03RD ST,1,2,-122.397291,37.781969
543 COLUMBUS AVE,1,2,-122.409665,37.799669
55 04TH ST,1,2,-122.404391,37.785396
550 GENE FRIEND WAY,1,7,-122.39045,37.76877
550 GENE FRIEND WAY,1,7,-122.38977,37.76902
555 02ND ST,1,2,-122.392559,37.782556
5843 GEARY BLVD,1,2,-122.482164,37.779935
600 16TH ST,48,48,-122.39241,37.76763
600 16TH ST,5,25,-122.39279,37.7676
602 03RD ST,1,2,-122.39435597,37.77982478
665 03RD ST,1,2,-122.39304,37.779561
85 02ND ST,1,2,-122.399884,37.788457
850 BRYANT ST,1,2,-122.404389,37.775398
1032 VALENCIA ST,1,2,-122.421365,37.756345
1034 VALENCIA ST,1,2,-122.421365,37.756345
105 VALENCIA ST,1,2,-122.42205937,37.77115203
1055 VALENCIA ST,1,2,-122.420681,37.756092
1070 FOLSOM ST,1,2,-122.407351,37.777447
1198 SOUTH VAN NESS AVE,3,6,-122.416781,37.754089
1231 09TH AVE,1,2,-122.466732,37.765338
1246 FOLSOM ST,1,2,-122.410994,37.774589
1290 09TH AVE,1,2,-122.466121,37.764296
1296 HAIGHT ST,1,2,-122.44337,37.770599
1311 24TH AVE,1,2,-122.48264239,37.76307121
1326 09TH AVE,1,2,-122.465944,37.763499
1336 09TH AVE,1,2,-122.465934,37.763362
1360 CHURCH ST,1,2,-122.42747,37.749049
147 VALENCIA ST,1,2,-122.42205937,37.77115203
1500 OWENS ST,4,6,-122.39637583,37.76852145
1546 GUERRERO ST,1,2,-122.422663,37.746483
1630 03RD ST,82,164,-122.38961,37.76852
165 GRATTAN ST,1,2,-122.450506,37.76348
182 GOUGH ST,1,2,-122.422356,37.77487
199 GUERRERO ST,1,2,-122.424362,37.768023
200 CAPP ST,1,2,-122.418561,37.763247
200 MCALLISTER ST,1,2,-122.415603,37.780934
2077 MARKET ST,1,2,-122.428415,37.767485
2092 03RD ST,1,2,-122.389089,37.763188
210 FELL ST,1,2,-122.422068,37.776304
221 PINE ST,1,2,-122.400015,37.792065
2299 MISSION ST,1,2,-122.4191,37.760396
2323 MISSION ST,1,2,-122.418815,37.759864
24 GROVE ST,19,38,-122.41580788,37.77915913
2736 20TH ST,1,2,-122.40874131,37.75947198
2801 24TH ST,1,2,-122.408344,37.752647
290 DIVISION ST,1,2,-122.408256,37.769512
2975 WASHINGTON ST,1,2,-122.442193,37.790428
3030 16TH ST,1,2,-122.420295,37.765372
3125 16TH ST,1,2,-122.42241452,37.76462344
3138 NORIEGA ST,1,2,-122.497577,37.753546
3141 23RD ST,1,2,-122.414952,37.753851
3245 16TH ST,2,4,-122.425015,37.764468
3388 19TH ST,1,2,-122.418938,37.760381
3620 WAWONA ST,1,2,-122.505751,37.736322
371 05TH ST,1,2,-122.402089,37.779543
3809 NORIEGA ST,1,2,-122.504583,37.752778
416 HAYES ST,1,2,-122.423408,37.777073
427 CASTRO ST,1,2,-122.434837,37.762084
499 ALABAMA ST,1,2,-122.411751,37.763583
500 CORTLAND AVE,1,2,-122.416149,37.738536
520 SCOTT ST,1,2,-122.435715,37.774625
535 IRVING ST,1,2,-122.463663,37.763908
537 DIVISADERO ST,1,2,-122.43804,37.774552
548 IRVING ST,1,2,-122.463898,37.764304
577 VALENCIA ST,1,2,-122.421474,37.763688
578 MARKET ST,1,2,-122.401448,37.78964
582 HAIGHT ST,1,2,-122.431787,37.772178
60 ONONDAGA AVE,1,2,-122.438835,37.722006
6555 GEARY BLVD,1,2,-122.489804,37.779548
659 COLUMBUS AVE,1,2,-122.41141618,37.80089225
668 HAIGHT ST,1,2,-122.433281,37.771995
670 SOUTH VAN NESS AVE,1,2,-122.417578,37.762418
673 UNION ST,1,2,-122.410421,37.8
728 DIVISADERO ST,1,2,-122.437982,37.776335
785 08TH AVE,1,2,-122.46625286,37.77363822
800 IRVING ST,1,2,-122.466548,37.764278
819 VALENCIA ST,1,2,-122.421111,37.759764
860 DIVISADERO ST,1,2,-122.438009,37.777657
940 FILBERT ST,1,2,-122.414971,37.800949
988 OAK ST,1,2,-122.435597,37.7736
999 BRANNAN ST,1,2,-122.406279,37.770096
101 GROVE ST,1,2,-122.418652,37.778128
1231 MARKET ST,1,2,-122.414791,37.777947
1580 MISSION ST,1,2,-122.418409,37.773853
2101 MISSION ST,1,2,-122.41901,37.763175
2871 24TH ST,1,2,-122.409583,37.752545
2871 24TH ST,1,2,-122.409583,37.752545
291 06TH AVE,1,2,-122.464613,37.783202
291 06TH AVE,1,2,-122.464613,37.783202
3101 24TH ST,1,2,-122.414265,37.75233
351 09TH AVE,1,2,-122.468039,37.781861
351 SHOTWELL ST,1,2,-122.415843,37.762811
401 CLEMENT ST,1,2,-122.463512,37.782742
4023 18TH ST,1,2,-122.433295,37.760765
411 HAYES ST,1,2,-122.42315624,37.77659741
4146 18TH ST,1,2,-122.435902,37.761028
4298 24TH ST,1,2,-122.438257,37.751264
519 HAYES ST,1,2,-122.425002,37.776434
522 JONES ST,1,2,-122.41283565,37.78606899
555 02ND ST,1,2,-122.392559,37.782556
555 FULTON ST,1,2,-122.425752,37.778168
562 MARKET ST,1,2,-122.401188,37.789879
563 02ND ST,1,2,-122.392461,37.782539
654 MISSION ST,1,2,-122.401235,37.787183
78 29TH ST,1,2,-122.4222756,37.74417137
79 NEW MONTGOMERY ST,1,2,-122.400535,37.78789
915 COLE ST,1,2,-122.4502137,37.76560156
919 KEARNY ST,1,2,-122.405384,37.796439
956 COLE ST,1,2,-122.44945099,37.76536883
97 COLLINGWOOD ST,1,2,-122.43590174,37.7610279
None,1,2,-122.43282,37.76934
1016 COLUMBUS AVE,1,2,-122.41516011,37.8039658
1032 IRVING ST,1,2,-122.469133,37.764163
110 JULIAN AVE,1,2,-122.421068,37.766278
118 NEW MONTGOMERY ST,1,2,-122.400427,37.787042
1240 09TH AVE,1,2,-122.46606,37.765156
1262 09TH AVE,1,2,-122.466036,37.764815
1269 09TH AVE,1,2,-122.466684,37.764652
1371 09TH AVE,1,2,-122.466548,37.762716
14 CLEMENT ST,1,2,-122.459487,37.783399
1417 VALENCIA ST,1,2,-122.420131,37.750206
142 MASON ST,1,2,-122.409359,37.784958
1426 18TH ST,1,2,-122.39719562,37.76266262
1500 TREAT AVE,1,2,-122.412577,37.746812
155 FELL ST,2,4,-122.42046,37.775985
1550 POWELL ST,1,2,-122.410367,37.799024
1560 POWELL ST,1,2,-122.410405,37.79921
1625 CARROLL AVE,1,2,-122.393575,37.725074
1651 MARKET ST,1,2,-122.421117,37.773213
1657 POWELL ST,1,2,-122.411013,37.799948
1665 HAIGHT ST,1,2,-122.449896,37.769429
1685 HAIGHT ST,1,2,-122.450391,37.769366
1730 FILLMORE ST,1,2,-122.432943,37.785695
1754 HAIGHT ST,1,2,-122.451176,37.769598
1790 HAIGHT ST,1,2,-122.451628,37.769645
1805 HAIGHT ST,1,2,-122.452033,37.769123
1816 HAIGHT ST,1,2,-122.45229,37.76956
1823 DIVISADERO ST,2,4,-122.44043,37.786437
183 GOLDEN GATE AVE,1,2,-122.413557,37.781668
1855 HAIGHT ST,1,2,-122.45262,37.768922
20 FRANKLIN ST,1,2,-122.420535,37.774578
2056 FILLMORE ST,1,2,-122.433583,37.788698
2112 FILLMORE ST,1,2,-122.43362,37.78932
2125 POWELL ST,1,2,-122.411897,37.804348
219 CLEMENT ST,1,2,-122.4616,37.78283
2301 FILLMORE ST,1,2,-122.434426,37.790939
2330 TAYLOR ST,1,2,-122.4146,37.804025
2417 CALIFORNIA ST,1,2,-122.434053,37.788689
242 CHURCH ST,1,2,-122.429141,37.766628
248 CHURCH ST,1,2,-122.429141,37.766628
266 DORE ST,1,2,-122.40974,37.771061
268 CHURCH ST,1,2,-122.429082,37.766375
275 GOUGH ST,1,2,-122.422956,37.775672
2788 DIAMOND ST,1,2,-122.434008,37.734776
2815 DIAMOND ST,1,2,-122.433656,37.733985
2832 MISSION ST,1,2,-122.418755,37.751518
2886 MISSION ST,1,2,-122.418649,37.750796
302 MONTCALM ST,1,2,-122.409227,37.745856
3071 16TH ST,1,2,-122.421082,37.764696
3189 16TH ST,1,2,-122.42364107,37.76452199
3223 MISSION ST,1,2,-122.419787,37.745082
3235 16TH ST,1,2,-122.424884,37.764475
3290 SACRAMENTO ST,1,2,-122.446722,37.788453
3326 SACRAMENTO ST,1,2,-122.44755,37.788333
334 GOUGH ST,1,2,-122.422669,37.776659
3420 18TH ST,1,2,-122.419986,37.762004
343 CLEMENT ST,1,2,-122.463089,37.782813
3435 SACRAMENTO ST,1,2,-122.449289,37.787613
3489 SACRAMENTO ST,1,2,-122.450056,37.787659
354 CLEMENT ST,1,2,-122.46315,37.783254
3556 SACRAMENTO ST,1,2,-122.451366,37.787902
3566 SACRAMENTO ST,1,2,-122.451498,37.787731
366 COLUMBUS AVE,1,2,-122.40734823,37.7985649
369 DIVISADERO ST,1,2,-122.437401,37.772841
385 GROVE ST,1,2,-122.422764,37.777604
4141 18TH ST,1,2,-122.435907,37.760642
4235 19TH ST,1,2,-122.436447,37.758928
4243 18TH ST,1,2,-122.436846,37.760586
431 CASTRO ST,1,2,-122.434696,37.762013
445 HAYES ST,1,2,-122.423686,37.77653
5 MURRAY ST,1,2,-122.425854,37.733829
5029 03RD ST,1,2,-122.391169,37.732624
5030 03RD ST,1,2,-122.391769,37.732935
